s,t,Open,High,Low,Close,Volume,Date
ok,1026086400,64.39,67.81,64.39,67.33,18579281,2002-07-08 05:30:00
ok,1026172800,67.38,69.0,66.9,68.58,14780037,2002-07-09 05:30:00
ok,1026259200,67.86,69.09,67.86,68.69,10965776,2002-07-10 05:30:00
ok,1026345600,68.35,68.5,65.56,65.8,10373050,2002-07-11 05:30:00
ok,1026432000,66.5,66.71,65.47,65.71,6289646,2002-07-12 05:30:00
ok,1026691200,66.12,66.12,64.39,65.85,4265430,2002-07-15 05:30:00
ok,1026777600,65.88,66.2,63.43,63.87,9112372,2002-07-16 05:30:00
ok,1026864000,63.72,64.02,62.36,62.88,15027638,2002-07-17 05:30:00
ok,1026950400,63.15,64.49,62.94,64.23,7203725,2002-07-18 05:30:00
ok,1027036800,63.4,64.97,63.4,64.34,9155089,2002-07-19 05:30:00
ok,1027296000,63.65,63.87,62.9,63.6,5654812,2002-07-22 05:30:00
ok,1027382400,63.05,64.34,62.59,63.59,9381338,2002-07-23 05:30:00
ok,1027468800,63.53,63.63,61.94,62.3,8876917,2002-07-24 05:30:00
ok,1027555200,63.15,64.31,61.93,62.36,24386182,2002-07-25 05:30:00
ok,1027641600,62.39,62.39,60.41,60.77,11777684,2002-07-26 05:30:00
ok,1027900800,60.57,62.05,59.14,61.36,17492080,2002-07-29 05:30:00
ok,1027987200,62.26,62.61,60.75,61.12,12553360,2002-07-30 05:30:00
ok,1028073600,60.66,61.36,59.7,60.52,13778416,2002-07-31 05:30:00
ok,1028160000,61.05,61.67,60.12,60.69,7877153,2002-08-01 05:30:00
ok,1028246400,59.96,60.56,59.21,60.15,8023608,2002-08-02 05:30:00
ok,1028505600,60.67,60.82,59.88,60.42,8758683,2002-08-05 05:30:00
ok,1028592000,60.18,60.42,59.59,59.82,6787961,2002-08-06 05:30:00
ok,1028678400,60.43,61.14,59.37,59.75,9968927,2002-08-07 05:30:00
ok,1028764800,59.87,60.11,57.3,57.74,14787241,2002-08-08 05:30:00
ok,1028851200,57.98,58.37,56.86,58.12,13604224,2002-08-09 05:30:00
ok,1029110400,58.88,60.26,58.03,59.67,17929326,2002-08-12 05:30:00
ok,1029196800,60.06,60.43,59.76,60.07,6275206,2002-08-13 05:30:00
ok,1029283200,59.96,60.31,58.98,59.08,9762255,2002-08-14 05:30:00
ok,1029456000,59.68,60.41,59.52,60.13,7977083,2002-08-16 05:30:00
ok,1029715200,60.46,61.1,60.46,60.74,8297561,2002-08-19 05:30:00
ok,1029801600,61.05,62.04,60.77,61.65,13201761,2002-08-20 05:30:00
ok,1029888000,61.69,62.18,60.63,60.72,8040709,2002-08-21 05:30:00
